cond,dur,word_stim,correct_resp,conditions.thisRepN,conditions.thisTrialN,conditions.thisN,conditions.thisIndex,word_stimuli.thisRepN,word_stimuli.thisTrialN,word_stimuli.thisN,word_stimuli.thisIndex,image.started,image.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_2.started,image_2.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_2.started,text_2.stopped,cross.started,cross.stopped,words.started,words.stopped,key_resp.keys,key_resp.started,key_resp.stopped,key_resp.rt,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,26.732160799991107,None,z,26.07105239998782,26.732160799991107,None,,,,,,,,,,,,,,,,,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
,,,,,,,,,,,,,,,,,,52.85611139997491,None,z,25.70663020000211,52.85611139997491,None,,,,,,,,,,,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,thinking,left,0,0,0,1,0,0,0,16,,,,,,,,,,,,,78.60446419997606,None,80.69318979998934,81.2019658999925,81.16885550000006,None,None,81.16885550000006,None,,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,driveway,left,0,0,0,1,0,1,1,15,,,,,,,,,,,,,,,82.22486139999819,82.74035869998625,82.72215679998044,82.22486139999819,None,82.72215679998044,82.22486139999819,,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,region,left,0,0,0,1,0,2,2,24,,,,,,,,,,,,,,,83.74194659999921,84.2515771999897,84.23501059997943,83.74194659999921,None,84.23501059997943,83.74194659999921,,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,feared,left,0,0,0,1,0,3,3,23,,,,,,,,,,,,,,,85.24477799999295,85.75130919998628,85.73475069997949,85.24477799999295,left,85.73475069997949,85.24477799999295,0.7570857999962755,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,entryway,right,0,0,0,1,0,4,4,9,,,,,,,,,,,,,,,86.52716089997557,87.03450209999573,87.01795959999436,None,None,87.01795959999436,None,,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,man,left,0,0,0,1,0,5,5,26,,,,,,,,,,,,,,,88.02089879999403,88.53411799998139,88.51754079997772,88.02089879999403,left,88.51754079997772,88.02089879999403,0.7159649000095669,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,call,left,0,0,0,1,0,6,6,27,,,,,,,,,,,,,,,89.26876769997762,89.78384979997645,89.75061639997875,None,left,89.75061639997875,None,0.8266465000051539,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,lick,right,0,0,0,1,0,7,7,10,,,,,,,,,,,,,,,90.61002969997935,91.11693379998906,91.1004284999799,None,right,91.1004284999799,None,0.7073236999858636,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,dad,left,0,0,0,1,0,8,8,20,,,,,,,,,,,,,,,91.83817089998047,92.35015719998046,92.3335416999762,None,left,92.3335416999762,None,0.8859552000067197,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,keep,right,0,0,0,1,0,9,9,11,,,,,,,,,,,,,,,93.25582239998039,93.76646409998648,93.74972699998762,None,right,93.74972699998762,None,0.9141708999814,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,breeder,right,0,0,0,1,0,10,10,0,,,,,,,,,,,,,,,94.69816189998528,95.1995387999923,95.18281609998667,None,right,95.18281609998667,None,0.5809344000008423,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,name,right,0,0,0,1,0,11,11,7,,,,,,,,,,,,,,,95.79210910000256,96.29934179998236,96.28261939997901,None,right,96.28261939997901,None,0.6961177999910433,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,minute,right,0,0,0,1,0,12,12,2,,,,,,,,,,,,,,,97.00937620000332,97.51569889998063,97.48248409997905,None,None,97.48248409997905,None,,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,cute,left,0,0,0,1,0,13,13,22,,,,,,,,,,,,,,,98.48677219997626,98.99928550000186,98.982105699979,98.48677219997626,left,98.982105699979,98.48677219997626,0.8386302999861073,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,family,left,0,0,0,1,0,14,14,21,,,,,,,,,,,,,,,99.85878959999536,100.36528669999097,100.34850529997493,None,left,100.34850529997493,None,0.8614133000082802,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,white,right,0,0,0,1,0,15,15,6,,,,,,,,,,,,,,,101.24101639998844,101.74818559997948,101.73161069999333,None,right,101.73161069999333,None,0.7021916000230704,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,two,right,0,0,0,1,0,16,16,4,,,,,,,,,,,,,,,102.47017279997817,102.98127589997603,102.96465339997667,None,right,102.96465339997667,None,0.6454952000058256,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,shouted,left,0,0,0,1,0,17,17,29,,,,,,,,,,,,,,,103.64183449998382,104.14788829997997,104.13113870000234,None,left,104.13113870000234,None,0.9590130999858957,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,grey,left,0,0,0,1,0,18,18,18,,,,,,,,,,,,,,,105.12305119997473,105.63099509998574,105.59760670000105,None,left,105.59760670000105,None,0.6822589999937918,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,dog,left,0,0,0,1,0,19,19,19,,,,,,,,,,,,,,,106.30435959997703,106.81404359999578,106.79728959998465,None,right,106.79728959998465,None,0.5646865000016987,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,small,left,0,0,0,1,0,20,20,28,,,,,,,,,,,,,,,107.39014809997752,107.89726999998675,107.88034999999218,None,None,107.88034999999218,None,,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
2,1,favourite,right,0,0,0,1,0,21,21,13,,,,,,,,,,,,,,,108.88817729998846,109.3967717999767,109.38003709999612,108.88817729998846,left,109.38003709999612,108.88817729998846,0.936972199997399,,,participant 8,001,2021_Dec_01_1513,Memory_Task,2021.2.3,60.04660818265177,
